time,G(i),H_sun,T2m,WS10m,Int
20110115:1610,323.04,9.13,11.76,0.69,0.0
20110115:1710,0.0,0.0,10.51,0.69,0.0
20110115:1810,0.0,0.0,9.85,0.28,0.0
20110115:1910,0.0,0.0,9.11,0.76,0.0
20110115:2010,0.0,0.0,6.0,1.52,0.0
20110115:2110,0.0,0.0,4.14,1.79,0.0
20110115:2210,0.0,0.0,3.11,1.79,0.0
20110115:2310,0.0,0.0,2.45,1.72,0.0
20110116:0010,0.0,0.0,2.11,1.52,0.0
20110116:0110,0.0,0.0,2.0,1.38,0.0
20110116:0210,0.0,0.0,1.6,1.38,0.0
20110116:0310,0.0,0.0,1.33,1.31,0.0
20110116:0410,0.0,0.0,0.93,1.38,0.0
20110116:0510,0.0,0.0,0.66,1.38,0.0
20110116:0610,0.0,0.0,0.32,1.45,0.0
20110116:0710,0.0,0.0,0.28,1.03,0.0
20110116:0810,207.97,4.87,-0.01,1.1,0.0
20110116:0910,526.2,13.83,1.9,1.1,0.0
20110116:1010,734.29,21.17,3.59,1.03,0.0
20110116:1110,876.2,26.29,5.5,0.9,0.0
20110116:1210,932.0,28.59,7.55,0.69,0.0
20110116:1310,900.86,27.77,9.31,0.69,0.0
20110116:1410,779.93,23.93,10.57,0.83,0.0
20110116:1510,586.58,17.58,11.1,1.03,0.0
20110116:1610,324.19,9.32,11.0,1.1,0.0
20110116:1710,0.0,0.0,10.07,0.97,0.0
20110116:1810,0.0,0.0,9.27,0.41,0.0
20110116:1910,0.0,0.0,9.04,0.21,0.0
20110116:2010,0.0,0.0,8.41,0.41,0.0
20110116:2110,0.0,0.0,7.5,0.83,0.0
20110116:2210,0.0,0.0,6.25,0.97,0.0
20110116:2310,0.0,0.0,5.35,0.9,0.0
20110117:0010,0.0,0.0,4.92,0.76,0.0
20110117:0110,0.0,0.0,4.16,0.69,0.0
20110117:0210,0.0,0.0,2.17,0.62,0.0
20110117:0310,0.0,0.0,0.72,0.48,0.0
20110117:0410,0.0,0.0,0.91,0.55,0.0
20110117:0510,0.0,0.0,1.23,0.69,0.0
20110117:0610,0.0,0.0,1.43,0.9,0.0
20110117:0710,0.0,0.0,2.17,0.83,0.0
20110117:0810,35.66,4.96,2.38,0.9,0.0
